;Bevölkerung 45 bis 64 Jahre (%);
;;
schluessel;regionaleinheit;wert
01001;Flensburg;25.1
01002;Kiel;24.6
01003;Lübeck;27.3
01004;Neumünster;27.8
01051;Dithmarschen;29.3
01053;Herzogtum Lauenburg;29.4
01054;Nordfriesland;29.5
01055;Ostholstein;30.7
01056;Pinneberg;29.6
01057;Plön;30.1
01058;Rendsburg-Eckernförde;29.9
01059;Schleswig-Flensburg;29.4
01060;Segeberg;29.5
01061;Steinburg;30.2
01062;Stormarn;30
02000;Hamburg;26.1
03101;Braunschweig;26
03102;Salzgitter;26.7
03103;Wolfsburg;26.1
03151;Gifhorn;29.3
03153;Goslar;29
03154;Helmstedt;29.4
03155;Northeim;29.3
03157;Peine;29.2
03158;Wolfenbüttel;29.8
03159;Göttingen;26.9
03241;Region Hannover;27.4
03251;Diepholz;29.3
03252;Hameln-Pyrmont;28.5
03254;Hildesheim;28.5
03255;Holzminden;28.6
03256;Nienburg (Weser);29.3
03257;Schaumburg;29.4
03351;Celle;28.1
03352;Cuxhaven;29.3
03353;Harburg;29.8
03354;Lüchow-Dannenberg;29.7
03355;Lüneburg;29.3
03356;Osterholz;30
03357;Rotenburg (Wümme);29.2
03358;Heidekreis;29.1
03359;Stade;28.5
03360;Uelzen;29.6
03361;Verden;28.2
03401;Delmenhorst;27.5
03402;Emden;27.6
03403;Oldenburg (Oldb);26.1
03404;Osnabrück;25
03405;Wilhelmshaven;26.5
03451;Ammerland;28.9
03452;Aurich;29.8
03453;Cloppenburg;27.3
03454;Emsland;28.3
03455;Friesland;29.3
03456;Grafschaft Bentheim;28.7
03457;Leer;28.7
03458;Oldenburg, Landkreis;30.1
03459;Osnabrück, Landkreis;29
03460;Vechta;27.8
03461;Wesermarsch;29.6
03462;Wittmund;29.3
04011;Bremen;25.6
04012;Bremerhaven;25.7
05111;Düsseldorf;26.8
05112;Duisburg;27.1
05113;Essen;26.4
05114;Krefeld;28.4
05116;Mönchengladbach;27.3
05117;Mülheim an der Ruhr;28
05119;Oberhausen;28
05120;Remscheid;28.6
05122;Solingen;28.8
05124;Wuppertal;26.9
05154;Kleve;28.5
05158;Mettmann;29
05162;Rhein-Kreis Neuss;29.3
05166;Viersen;30
05170;Wesel;29
05314;Bonn;25.7
05315;Köln;26.9
05316;Leverkusen;28.3
05334;Städteregion Aachen;25.8
05358;Düren;28.1
05362;Rhein-Erft-Kreis;28.6
05366;Euskirchen;29.3
05370;Heinsberg;29
05374;Oberbergischer Kreis;28.7
05378;Rheinisch-Bergischer Kreis;30
05382;Rhein-Sieg-Kreis;29.1
05512;Bottrop;28.5
05513;Gelsenkirchen;26.8
05515;Münster;24.1
05554;Borken;28.9
05558;Coesfeld;29.1
05562;Recklinghausen;28.6
05566;Steinfurt;29
05570;Warendorf;29
05711;Bielefeld;26.2
05754;Gütersloh;29
05758;Herford;28.9
05762;Höxter;29
05766;Lippe;27.8
05770;Minden-Lübbecke;28.2
05774;Paderborn;27
05911;Bochum;26.3
05913;Dortmund;26.7
05914;Hagen;27.4
05915;Hamm;27.5
05916;Herne;27.8
05954;Ennepe-Ruhr-Kreis;29
05958;Hochsauerlandkreis;29.4
05962;Märkischer Kreis;29.3
05966;Olpe;29.7
05970;Siegen-Wittgenstein;27.7
05974;Soest;29.3
05978;Unna;29
06411;Darmstadt;23.5
06412;Frankfurt am Main;26
06413;Offenbach am Main;26.3
06414;Wiesbaden;27.3
06431;Bergstraße;29.2
06432;Darmstadt-Dieburg;29.3
06433;Groß-Gerau;28.2
06434;Hochtaunuskreis;30.1
06435;Main-Kinzig-Kreis;28.6
06436;Main-Taunus-Kreis;29.7
06437;Odenwaldkreis;29.2
06438;Offenbach;28.2
06439;Rheingau-Taunus-Kreis;30.1
06440;Wetteraukreis;29.3
06531;Gießen;25.4
06532;Lahn-Dill-Kreis;28.7
06533;Limburg-Weilburg;29
06534;Marburg-Biedenkopf;27
06535;Vogelsbergkreis;29.5
06611;Kassel;25.1
06631;Fulda;27.8
06632;Hersfeld-Rotenburg;28.8
06633;Kassel, Landkreis;29
06634;Schwalm-Eder-Kreis;29.3
06635;Waldeck-Frankenberg;29.3
06636;Werra-Meißner-Kreis;29.3
07111;Koblenz;24.7
07131;Ahrweiler;28.5
07132;Altenkirchen (Westerwald);28.6
07133;Bad Kreuznach;28.7
07134;Birkenfeld;28.1
07135;Cochem-Zell;29.8
07137;Mayen-Koblenz;28.5
07138;Neuwied;28.2
07140;Rhein-Hunsrück-Kreis;29.1
07141;Rhein-Lahn-Kreis;29
07143;Westerwaldkreis;29.5
07211;Trier;24.9
07231;Bernkastel-Wittlich;29.4
07232;Eifelkreis Bitburg-Prüm;29.1
07233;Vulkaneifel;29.2
07235;Trier-Saarburg;29.6
07311;Frankenthal (Pfalz);26.9
07312;Kaiserslautern;25.2
07313;Landau in der Pfalz;26
07314;Ludwigshafen am Rhein;26.5
07315;Mainz;23.6
07316;Neustadt an der Weinstraße;27.6
07317;Pirmasens;27.1
07318;Speyer;28.5
07319;Worms;27.1
07320;Zweibrücken;27.1
07331;Alzey-Worms;29.2
07332;Bad Dürkheim;30.1
07333;Donnersbergkreis;29.8
07334;Germersheim;28.9
07335;Kaiserslautern, Landkreis;28.3
07336;Kusel;29.1
07337;Südliche Weinstraße;30
07338;Rhein-Pfalz-Kreis;29
07339;Mainz-Bingen;30.1
07340;Südwestpfalz;30.1
08111;Stuttgart;25.5
08115;Böblingen;27.7
08116;Esslingen;28.1
08117;Göppingen;27.9
08118;Ludwigsburg;28.1
08119;Rems-Murr-Kreis;28.6
08121;Heilbronn;25.3
08125;Heilbronn, Landkreis;28.4
08126;Hohenlohekreis;28.2
08127;Schwäbisch Hall;27.7
08128;Main-Tauber-Kreis;28.5
08135;Heidenheim;27.7
08136;Ostalbkreis;28.1
08211;Baden-Baden;28.5
08212;Karlsruhe;25.4
08215;Karlsruhe, Landkreis;28.9
08216;Rastatt;28.9
08221;Heidelberg;21.3
08222;Mannheim;25.7
08225;Neckar-Odenwald-Kreis;28.8
08226;Rhein-Neckar-Kreis;28.7
08231;Pforzheim;25.7
08235;Calw;28.4
08236;Enzkreis;28.6
08237;Freudenstadt;28.7
08311;Freiburg im Breisgau;22.9
08315;Breisgau-Hochschwarzwald;27.9
08316;Emmendingen;28.2
08317;Ortenaukreis;28
08325;Rottweil;28.3
08326;Schwarzwald-Baar-Kreis;26.9
08327;Tuttlingen;27.1
08335;Konstanz;26.9
08336;Lörrach;28.3
08337;Waldshut;27.7
08415;Reutlingen;28
08416;Tübingen;25.1
08417;Zollernalbkreis;28.4
08421;Ulm;24.6
08425;Alb-Donau-Kreis;28
08426;Biberach;27.8
08435;Bodenseekreis;28
08436;Ravensburg;27.6
08437;Sigmaringen;28.5
09161;Ingolstadt;25.7
09162;München;25.2
09163;Rosenheim;26.4
09171;Altötting;27.9
09172;Berchtesgadener Land;27.5
09173;Bad Tölz-Wolfratshausen;28.9
09174;Dachau;29.1
09175;Ebersberg;29.6
09176;Eichstätt;28
09177;Erding;30.2
09178;Freising;28.7
09179;Fürstenfeldbruck;28.6
09180;Garmisch-Partenkirchen;29
09181;Landsberg am Lech;30
09182;Miesbach;30
09183;Mühldorf a.Inn;28.6
09184;München, Landkreis;28.6
09185;Neuburg-Schrobenhausen;28.4
09186;Pfaffenhofen a.d.Ilm;28.5
09187;Rosenheim, Landkreis;29
09188;Starnberg;30.1
09189;Traunstein;28.5
09190;Weilheim-Schongau;28.5
09261;Landshut;26.9
09262;Passau;24.4
09263;Straubing;27.3
09271;Deggendorf;28.4
09272;Freyung-Grafenau;29.9
09273;Kelheim;28.8
09274;Landshut, Landkreis;29.5
09275;Passau, Landkreis;29.2
09276;Regen;29.2
09277;Rottal-Inn;28.6
09278;Straubing-Bogen;29.7
09279;Dingolfing-Landau;28.8
09361;Amberg;27.2
09362;Regensburg;24.1
09363;Weiden i.d.OPf.;27.7
09371;Amberg-Sulzbach;29.7
09372;Cham;29
09373;Neumarkt i.d.OPf.;29
09374;Neustadt a.d.Waldnaab;29.4
09375;Regensburg, Landkreis;29.4
09376;Schwandorf;29.4
09377;Tirschenreuth;29.8
09461;Bamberg;25
09462;Bayreuth;24.4
09463;Coburg;26.4
09464;Hof;26.3
09471;Bamberg, Landkreis;30
09472;Bayreuth, Landkreis;30.3
09473;Coburg, Landkreis;29.9
09474;Forchheim;29.8
09475;Hof, Landkreis;30.3
09476;Kronach;31.4
09477;Kulmbach;30.3
09478;Lichtenfels;29.8
09479;Wunsiedel i.Fichtelgebirge;29.3
09561;Ansbach;27.1
09562;Erlangen;23.9
09563;Fürth;28.2
09564;Nürnberg;26.3
09565;Schwabach;28.9
09571;Ansbach, Landkreis;28.9
09572;Erlangen-Höchstadt;28.9
09573;Fürth, Landkreis;29.1
09574;Nürnberger Land;29.5
09575;Neustadt a.d.Aisch-Bad Windsheim;29.2
09576;Roth;29.4
09577;Weißenburg-Gunzenhausen;28.4
09661;Aschaffenburg;27.3
09662;Schweinfurt;24.6
