;Bevölkerung 0 bis 17 Jahre (%);
;;
schluessel;regionaleinheit;wert
01001;Flensburg;15.5
01002;Kiel;14.7
01003;Lübeck;14.9
01004;Neumünster;16
01051;Dithmarschen;15.7
01053;Herzogtum Lauenburg;17.7
01054;Nordfriesland;15.7
01055;Ostholstein;14.2
01056;Pinneberg;17.1
01057;Plön;16.2
01058;Rendsburg-Eckernförde;16.8
01059;Schleswig-Flensburg;17.2
01060;Segeberg;17.1
01061;Steinburg;16.3
01062;Stormarn;17.7
02000;Hamburg;17
03101;Braunschweig;14.8
03102;Salzgitter;18.5
03103;Wolfsburg;17.8
03151;Gifhorn;18.7
03153;Goslar;14
03154;Helmstedt;16.6
03155;Northeim;15.5
03157;Peine;18.3
03158;Wolfenbüttel;16.3
03159;Göttingen;15.1
03241;Region Hannover;16.6
03251;Diepholz;17.1
03252;Hameln-Pyrmont;16.4
03254;Hildesheim;16
03255;Holzminden;15.8
03256;Nienburg (Weser);17.3
03257;Schaumburg;16
03351;Celle;17.3
03352;Cuxhaven;16.4
03353;Harburg;17.2
03354;Lüchow-Dannenberg;15
03355;Lüneburg;17
03356;Osterholz;17.3
03357;Rotenburg (Wümme);16.9
03358;Heidekreis;16.8
03359;Stade;17.7
03360;Uelzen;15.6
03361;Verden;18.1
03401;Delmenhorst;17.8
03402;Emden;16.8
03403;Oldenburg (Oldb);15.4
03404;Osnabrück;15.1
03405;Wilhelmshaven;15.1
03451;Ammerland;17.1
03452;Aurich;16.1
03453;Cloppenburg;20
03454;Emsland;18.2
03455;Friesland;15.8
03456;Grafschaft Bentheim;18.1
03457;Leer;17.6
03458;Oldenburg, Landkreis;17.1
03459;Osnabrück, Landkreis;17.9
03460;Vechta;19.4
03461;Wesermarsch;16.3
03462;Wittmund;15.9
04011;Bremen;17.1
04012;Bremerhaven;18.2
05111;Düsseldorf;15.8
05112;Duisburg;18.1
05113;Essen;17
05114;Krefeld;16.8
05116;Mönchengladbach;17.1
05117;Mülheim an der Ruhr;17
05119;Oberhausen;17
05120;Remscheid;17
05122;Solingen;16.9
05124;Wuppertal;17.5
05154;Kleve;16.6
05158;Mettmann;16.9
05162;Rhein-Kreis Neuss;17.4
05166;Viersen;16.3
05170;Wesel;16.4
05314;Bonn;16.5
05315;Köln;15.9
05316;Leverkusen;17.2
05334;Städteregion Aachen;15.5
05358;Düren;17.2
05362;Rhein-Erft-Kreis;17.6
05366;Euskirchen;17
05370;Heinsberg;17.1
05374;Oberbergischer Kreis;17.9
05378;Rheinisch-Bergischer Kreis;16.9
05382;Rhein-Sieg-Kreis;17.3
05512;Bottrop;16.5
05513;Gelsenkirchen;19.2
05515;Münster;15
05554;Borken;18.5
05558;Coesfeld;17.6
05562;Recklinghausen;17
05566;Steinfurt;17.9
05570;Warendorf;17.7
05711;Bielefeld;17.2
05754;Gütersloh;17.9
05758;Herford;17.3
05762;Höxter;16.7
05766;Lippe;18
05770;Minden-Lübbecke;17.8
05774;Paderborn;17.7
05911;Bochum;15.4
05913;Dortmund;17.2
05914;Hagen;18.2
05915;Hamm;17.4
05916;Herne;17.4
05954;Ennepe-Ruhr-Kreis;16
05958;Hochsauerlandkreis;16.3
05962;Märkischer Kreis;16.9
05966;Olpe;17.1
05970;Siegen-Wittgenstein;17
05974;Soest;16.8
05978;Unna;16.5
06411;Darmstadt;15.9
06412;Frankfurt am Main;16.8
06413;Offenbach am Main;18
06414;Wiesbaden;17.3
06431;Bergstraße;16.9
06432;Darmstadt-Dieburg;17.4
06433;Groß-Gerau;18.5
06434;Hochtaunuskreis;17.8
06435;Main-Kinzig-Kreis;17.4
06436;Main-Taunus-Kreis;18.1
06437;Odenwaldkreis;16.2
