;Bevölkerungsdichte (EW je qkm);
;;
schluessel;regionaleinheit;wert
01;Schleswig-Holstein;187.3
02;Hamburg;2466.7
03;Niedersachsen;167.8
04;Bremen;1678.5
05;Nordrhein-Westfalen;528.7
06;Hessen;297.4
07;Rheinland-Pfalz;208
08;Baden-Württemberg;314.6
09;Bayern;187.8
10;Saarland;393.5
11;Berlin;4135.5
12;Brandenburg;86.2
13;Mecklenburg-Vorpommern;67.6
14;Sachsen;219.1
15;Sachsen-Anhalt;103.9
16;Thüringen;129.6
